dataset,model,subset,regime,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
semeval,SBERT,joint,10,0.212730634,0.212623767,0.16542439,0.262522236,0.342182891,0.341821534,0.292035398,0.392330383,0.281923392,0.278232643,0.142661472,0.379941976
semeval,SBERT,target,100,0.427167261,0.42748451,0.364927507,0.492263293,0.581120944,0.581083481,0.528023599,0.634218289,0.337701552,0.338372641,0.278808921,0.402232838
semeval,SBERT,stance,100,0.361559485,0.362119233,0.302670237,0.423631903,0.525073746,0.52520059,0.471976401,0.578171091,0.275702439,0.276570888,0.222761723,0.334281811
semeval,SBERT,joint,100,0.177107592,0.177881115,0.134389636,0.223964277,0.345132743,0.345384956,0.294985251,0.395280236,0.119116611,0.119957775,0.087016298,0.156246465
semeval,SBERT,target,all,0.873217496,0.873038764,0.835409599,0.908515596,0.873156342,0.872977581,0.83480826,0.908554572,0.87329411,0.873782313,0.836940104,0.908717491
semeval,SBERT,stance,all,0.717083536,0.71663267,0.669372019,0.76317609,0.716814159,0.716316224,0.669616519,0.764011799,0.719810735,0.721132942,0.673903544,0.767264394
semeval,SBERT,joint,all,0.650959674,0.651164136,0.598021699,0.70164716,0.651917404,0.652072566,0.598820059,0.702064897,0.656226044,0.660332312,0.60767158,0.711682718
semeval,DeBERTa,target,10,0.247321522,0.248125342,0.195926273,0.302670237,0.418879056,0.419178761,0.365781711,0.471976401,0.175459664,0.176427864,0.13379626,0.222761723
semeval,DeBERTa,stance,10,0.361559485,0.361689717,0.29949888,0.423631903,0.525073746,0.524809735,0.469026549,0.578171091,0.275702439,0.276188367,0.219985903,0.334281811
semeval,DeBERTa,joint,10,0.054882006,0.055384831,0.035123825,0.080159036,0.179941003,0.179892625,0.14159292,0.221238938,0.032378765,0.032797071,0.020048555,0.048946668
semeval,DeBERTa,target,100,0.427167261,0.427343874,0.364927507,0.492263293,0.581120944,0.580966077,0.528023599,0.634218289,0.337701552,0.338236475,0.278808921,0.402232838
semeval,DeBERTa,stance,100,0.361559485,0.362185195,0.302670237,0.423631903,0.525073746,0.525256342,0.471976401,0.578171091,0.275702439,0.276634143,0.222761723,0.334281811
semeval,DeBERTa,joint,100,0.177107592,0.17711974,0.134389636,0.223964277,0.345132743,0.344537758,0.294985251,0.395280236,0.119116611,0.11936713,0.087016298,0.156246465
semeval,DeBERTa,target,all,0.867190138,0.866981526,0.829007733,0.902729376,0.867256637,0.867051032,0.828908555,0.902654867,0.867139036,0.867609629,0.829888889,0.903246468
semeval,DeBERTa,stance,all,0.66022711,0.660291423,0.60723779,0.712565104,0.672566372,0.672713569,0.622418879,0.722713864,0.666213524,0.668288546,0.615065502,0.720465309
semeval,DeBERTa,joint,all,0.572338642,0.57211367,0.515538151,0.628565477,0.595870206,0.595617404,0.542772861,0.648967552,0.605382472,0.609283224,0.544266151,0.670622174
semeval,Flan-T5,target,10,0.247321522,0.248011275,0.195926273,0.302670237,0.418879056,0.419066077,0.365781711,0.471976401,0.175459664,0.176331927,0.13379626,0.222761723
semeval,Flan-T5,stance,10,0.072537593,0.073245271,0.048404398,0.102668749,0.209439528,0.209684071,0.168141593,0.253687316,0.043864916,0.044456664,0.028271595,0.064357254
semeval,Flan-T5,joint,10,0.010926577,0.011207281,0.004789367,0.020389381,0.076696165,0.076516519,0.050147493,0.10619469,0.005882302,0.00606105,0.002514771,0.011277312
semeval,Flan-T5,target,100,0.427167261,0.427066054,0.364927507,0.488576656,0.581120944,0.580733628,0.528023599,0.631268437,0.337701552,0.337968308,0.278808921,0.398499839
semeval,Flan-T5,stance,100,0.361559485,0.361313986,0.302670237,0.423631903,0.525073746,0.52449528,0.471976401,0.578171091,0.275702439,0.275828036,0.222761723,0.334281811
semeval,Flan-T5,joint,100,0.177107592,0.177392379,0.134389636,0.223964277,0.345132743,0.344833333,0.294985251,0.395280236,0.119116611,0.119581797,0.087016298,0.156246465
